ENG	FR	eng_stem	fr_stem	ratio_similarity
moralistic	moraliste	moralist	moral	77
moronic	débile	moron	débil	0
morphogenetic	morphogénétique	morphogenet	morphogénet	91
mosaic	mosaïque	mosaic	mosaïqu	62
music	musique	music	musiqu	73
myalgic	myalgique	myalgic	myalgiqu	80
myopic	myope	myopic	myop	80
mystic	mystique	mystic	mystiqu	77
mythic	mythique	mythic	mythiqu	77
narcissistic	narcissique	narcissist	narciss	82
narcoleptic	narcoleptique	narcolept	narcolept	100
narcotic	narcotique	narcot	narcot	100
nationalistic	nationaliste	nationalist	national	84
naturalistic	naturaliste	naturalist	natural	82
necromantic	nécromantique	necromant	nécromant	89
necrophiliac	nécrophile	necrophiliac	nécrophil	76
necrotic	nécrotique	necrot	nécrot	83
neolithic	néolithique	neolith	néolith	86
neurotic	névrosé	neurot	névros	50
nihilistic	nihiliste	nihilist	nihil	77
nitric	nitrique	nitric	nitriqu	77
nomadic	nomade	nomad	nomad	100
nordic	nordique	nordic	nordiqu	77
nostalgic	nostalgique	nostalg	nostalg	100
novelistic	romanesque	novelist	romanesqu	35
nucleic	nucléique	nucleic	nucléiqu	67
numeric	numérique	numer	numer	100
numismatic	numismatique	numismat	numismat	100
nymphomaniac	nymphomane	nymphomaniac	nymphoman	86
obstetric	obstétrique	obstetr	obstetr	100
oceanic	océanique	ocean	océan	80
oceanographic	océanographique	oceanograph	océanograph	91
ohmic	ohmique	ohmic	ohmiqu	73
olympic	olympique	olymp	olymp	100
oolitic	oolithique	oolit	oolith	91
operatic	opératique	operat	opérat	83
ophthalmic	ophtalmique	ophthalm	ophtalm	93
opportunistic	opportuniste	opportunist	opportun	84
optic	optique	optic	optiqu	73
optimistic	optimiste	optimist	optim	77
optoelectronic	optoélectronique	optoelectron	optoélectron	92
organic	biologique	organ	biolog	36
orthographic	orthographique	orthograph	orthograph	100
orthopaedic	orthopédique	orthopaed	orthoped	94
orthorhombic	orthorhombique	orthorhomb	orthorhomb	100
osmotic	osmotique	osmot	osmot	100
overdramatic	trop dramatique	overdramat	trop dramat	67
overenthusiastic	trop enthousiaste	overenthusiast	trop enthousiast	73
overoptimistic	trop optimiste	overoptimist	trop optim	55
oxalic	oxalique	oxal	oxal	100
pacific	pacifique	pacif	pacif	100
paediatric	pédiatrique	paediatr	pédiatr	80
palaeographic	paléographique	palaeograph	paléograph	86
palaeolithic	paléolithique	palaeolith	paléolith	84
palindromic	palindromique	palindrom	palindrom	100
pancreatic	pancréatique	pancreat	pancréat	88
pandemic	pandémie	pandem	pandem	100
panic	panique	panic	paniqu	73
panoramic	panoramique	panoram	panoram	100
pantheistic	panthéiste	pantheist	panthéist	89
parabolic	parabolique	parabol	parabol	100
paradigmatic	paradigmatique	paradigmat	paradigmat	100
paralinguistic	paralinguistique	paralinguist	paralinguist	100
paralytic	paralytique	paralyt	paralyt	100
paramagnetic	paramagnétique	paramagnet	paramagnet	100
paramedic	paramédical	paramed	paramédical	67
parametric	paramétrique	parametr	parametr	100
paranoiac	paranoïaque	paranoiac	paranoïaqu	74
paraplegic	paraplégique	parapleg	parapleg	100
parasitic	parasite	parasit	parasit	100
parenthetic	parenthétique	parenthet	parenthet	100
parsec	parsec	parsec	parsec	100
paternalistic	paternaliste	paternalist	paternal	84
pathetic	pathétique	pathet	pathet	100
pathogenic	pathogène	pathogen	pathogen	100
patriotic	patriotique	patriot	patriot	100
pedagogic	pédagogique	pedagog	pédagog	86
pedantic	pédant	pedant	ped	67
pelvic	pelvien	pelvic	pelvien	77
pentasyllabic	pentasyllabique	pentasyllab	pentasyllab	100
pentatonic	pentatonique	pentaton	pentaton	100
peptic	peptique	peptic	peptiqu	77
periodic	périodique	period	périod	83
peripatetic	ambulant	peripatet	ambul	14
periphrastic	périphrastique	periphrast	périphrast	90
pessimistic	pessimiste	pessimist	pessim	80
petrographic	pétrographique	petrograph	pétrograph	90
philanthropic	philanthropique	philanthrop	philanthrop	100
philatelic	philatélique	philatel	philatel	100
philharmonic	philharmonique	philharmon	philharmon	100
philosophic	philosophique	philosoph	philosoph	100
phlegmatic	flegmatique	phlegmat	flegmat	80
phobic	phobique	phobic	phobiqu	77
phonemic	phonémique	phonem	phonem	100
phonetic	phonétique	phonet	phonet	100
phonographic	phonographique	phonograph	phonograph	100
phosphatic	phosphaté	phosphat	phosphat	100
phosphoric	phosphorique	phosphor	phosphor	100
photoelectric	photo-électrique	photoelectr	photo-électr	87
photogenic	photogénique	photogen	photogen	100
photographic	photographique	photograph	photograph	100
photolytic	photolytique	photolyt	photolyt	100
photometric	photométrique	photometr	photometr	100
photosynthetic	photosynthétique	photosynthet	photosynthet	100
photovoltaic	photovoltaïque	photovolta	photovoltaïqu	87
phylogenetic	phylogénétique	phylogenet	phylogénet	90
physic	physique	physic	physiqu	77
pianistic	pianistique	pianist	pianist	100
picnic	pique-nique	picnic	pique-n	46
pictographic	pictographique	pictograph	pictograph	100
piezoelectric	piézoélectrique	piezoelectr	piézoélectr	82
planktonic	planctonique	plankton	plancton	88
plastic	Plastique	plastic	plastiqu	80
platonic	platonique	platon	platon	100
pluralistic	pluraliste	pluralist	plural	80
plutonic	plutonique	pluton	pluton	100
pneumatic	pneumatique	pneumat	pneumat	100
poetic	poétique	poetic	poétiqu	62
poikilothermic	poikilothermique	poikilotherm	poikilotherm	100
polemic	polémique	polem	polem	100
politic	politique	polit	polit	100
polyatomic	polyatomique	polyatom	polyatom	100
polychromatic	polychrome	polychromat	polychrom	90
polycyclic	polycyclique	polycycl	polycycl	100
polymeric	polymère	polymer	polymer	100
polymorphic	polymorphe	polymorph	polymorph	100
polyphonic	polyphonique	polyphon	polyphon	100
polysyllabic	polysyllabique	polysyllab	polysyllab	100
polytechnic	polytechnique	polytechn	polytechn	100
polytheistic	polythéiste	polytheist	polythé	71
popmusic	musique pop	popmus	musique pop	35
pornographic	pornographique	pornograph	pornograph	100
porphyritic	porphyritique	porphyrit	porphyrit	100
pragmatic	pragmatique	pragmat	pragmat	100
prehistoric	préhistorique	prehistor	préhistor	89
priapic	priapique	priapic	priapiqu	80
prismatic	prismatique	prismat	prismat	100
probabilistic	probabiliste	probabilist	probabil	84
problematic	problématique	problemat	problémat	89
programmatic	programmatique	programmat	programmat	100
prolific	prolifique	prolif	prolif	100
prophetic	prophétique	prophet	prophet	100
prophylactic	prophylactique	prophylact	prophylact	100
prosaic	prosaïque	prosaic	prosaïqu	67
prosodic	prosodique	prosod	prosod	100
prostatic	prostatique	prostat	prostat	100
prosthetic	prothétique	prosthet	prothet	93
protoplasmic	protoplasmique	protoplasm	protoplasm	100
prussic	prussique	prussic	prussiqu	80
psychedelic	psychédélique	psychedel	psychédel	89
psychiatric	psychiatrique	psychiatr	psychiatr	100
psychic	psychique	psychic	psychiqu	80
psychoanalytic	psychanalytique	psychoanalyt	psychanalyt	96
psychokinetic	psychocinétique	psychokinet	psychocinet	91
psycholinguistic	psycholinguistique	psycholinguist	psycholinguist	100
psychometric	psychométrique	psychometr	psychometr	100
psychopathic	psychopathique	psychopath	psychopath	100
psychosomatic	psychosomatique	psychosomat	psychosomat	100
psychotic	psychotique	psychot	psychot	100
pubic	pubien	pubic	pubien	73
public	Publique	public	publiqu	77
pugilistic	pugilistique	pugilist	pugilist	100
pyromaniac	pyromane	pyromaniac	pyroman	82
pyrotechnic	pyrotechnique	pyrotechn	pyrotechn	100
quadratic	quadratique	quadrat	quadrat	100
quadrophonic	quadrophonique	quadrophon	quadrophon	100
quartic	quartique	quartic	quartiqu	80
quebec	Québec	quebec	québec	83
quintic	quintique	quintic	quintiqu	80
quixotic	chimérique	quixot	chimer	17
radiographic	radiographique	radiograph	radiograph	100
radiometric	radiométrique	radiometr	radiometr	100
rationalistic	rationaliste	rationalist	rational	84
realistic	réaliste	realist	réalist	86
relativistic	relativiste	relativist	relativ	82
relic	relique	relic	reliqu	73
republic	république	republ	républ	83
rhapsodic	rhapsodique	rhapsod	rhapsod	100
rhetoric	rhétorique	rhetor	rhétor	83
rheumatic	rhumatismal	rheumat	rhumatismal	67
rhombic	rhombique	rhombic	rhombiqu	80
rhythmic	rythmique	rhythmic	rythmiqu	75
ribonucleic	ribonucléique	ribonucl	ribonuclé	94
ritualistic	ritualiste	ritualist	ritual	80
robotic	robotique	robot	robot	100
roc	roc	roc	roc	100
romantic	romantique	romant	romant	100
rubric	rubrique	rubric	rubriqu	77
rustic	rustique	rustic	rustiqu	77
sac	sac	sac	sac	100
sadistic	sadique	sadist	sadiqu	67
sadomasochistic	sadomasochiste	sadomasochist	sadomasoch	87
salicylic	salicylique	salicyl	salicyl	100
sarcastic	sarcastique	sarcast	sarcast	100
sardonic	sardonique	sardon	sardon	100
satanic	satanique	satan	satan	100
satiric	satirique	satir	satir	100
satyric	satyrique	satyr	satyr	100
scenic	scénique	scenic	scéniqu	62
sceptic	sceptique	sceptic	sceptiqu	80
schematic	schématique	schemat	schémat	86
schismatic	schismatique	schismat	schismat	100
schizophrenic	schizophrène	schizophren	schizophren	100
scholastic	scolaire	scholast	scolair	67
scientific	scientifique	scientif	scientif	100
sec	seconde	sec	second	67
seismic	sismique	seismic	sismiqu	71
semantic	sémantique	semant	sémant	83
semitic	sémitique	semit	sémit	80
sensationalistic	sensationnaliste	sensationalist	sensationnal	85
septic	septique	septic	septiqu	77
seraphic	séraphique	seraph	séraph	83
shamanic	chamanique	shaman	chaman	83
shamanistic	chamanique	shamanist	chaman	67
shellac	gomme laque	shellac	gomme laqu	35
sic	sic	sic	sic	100
simplistic	simpliste	simplist	simplist	100
skeptic	sceptique	skeptic	sceptiqu	67
slavic	slave	slavic	slav	80
socialistic	socialiste	socialist	social	80
socioeconomic	socio-économique	socioeconom	socio-économ	87
sociolinguistic	sociolinguistique	sociolinguist	sociolinguist	100
somatic	somatique	somat	somat	100
sonic	sonique	sonic	soniqu	73
soporific	soporifique	soporif	soporif	100
spasmodic	spasmodique	spasmod	spasmod	100
spastic	spasmodique	spastic	spasmod	57
spec	spec	spec	spec	100
specific	spécifique	specif	spécif	83
spectrometric	spectrométrique	spectrometr	spectrometr	100
spectroscopic	spectroscopique	spectroscop	spectroscop	100
spheric	sphérique	spheric	sphériqu	67
splenetic	atrabilaire	splenet	atrabilair	12
sporadic	sporadique	sporad	sporad	100
static	statique	static	statiqu	77
statistic	statistique	statist	statist	100
stenographic	sténographique	stenograph	sténograph	90
stereographic	stéréographique	stereograph	stéréograph	82
stereophonic	stéréophonique	stereophon	stéréophon	80
stereoscopic	stéréoscopique	stereoscop	stéréoscop	80
stochastic	stochastique	stochast	stochast	100
stoic	stoïque	stoic	stoïqu	55
strategic	stratégique	strateg	strateg	100
stratigraphic	stratigraphique	stratigraph	stratigraph	100
stratospheric	stratosphérique	stratospher	stratospher	100
stylistic	stylistique	stylist	stylist	100
subarctic	subarctique	subarct	subarct	100
subatomic	subatomique	subatom	subatom	100
subharmonic	sous-harmonique	subharmon	sous-harmon	80
subsonic	subsonique	subson	subson	100
sulphuric	sulfurique	sulphur	sulfur	77
supersonic	supersonique	superson	superson	100
surrealistic	surréaliste	surrealist	surréal	71
sycophantic	flagorneur	sycophant	flagorneur	21
syllabic	syllabique	syllab	syllab	100
syllogistic	syllogistique	syllogist	syllogist	100
symbiotic	symbiotique	symbiot	symbiot	100
symbolic	symbolique	symbol	symbol	100
symmetric	symétrique	symmetr	symetr	92
sympathetic	sympathique	sympathet	sympath	88
symphonic	symphonique	symphon	symphon	100
symptomatic	symptomatique	symptomat	symptomat	100
synaptic	synaptique	synapt	synapt	100
sync	synchroniser	sync	synchronis	57
synchronic	synchronisé	synchron	synchronis	89
syncretic	syncrétique	syncret	syncret	100
synergistic	synergique	synergist	synerg	80
synodic	synodique	synod	synod	100
synonymic	synonymique	synonym	synonym	100
synoptic	synoptique	synopt	synopt	100
syntactic	syntaxique	syntact	syntax	77
syntagmatic	syntagmatique	syntagmat	syntagmat	100
synthetic	synthétique	synthet	synthet	100
syphilitic	syphilitique	syphilit	syphilit	100
systematic	systématique	systemat	systémat	88
systemic	systémique	system	system	100
systolic	systolique	systol	systol	100
tactic	tactique	tactic	tactiqu	77
talc	talc	talc	talc	100
tannic	tannique	tannic	tanniqu	77
tarmac	macadam	tarmac	macadam	46
tartaric	tartrique	tartar	tartriqu	71
taxonomic	taxinomique	taxonom	taxinom	86
technocratic	technocratique	technocrat	technocrat	100
technophobic	technophobe	technophob	technophob	100
tectonic	tectonique	tecton	tecton	100
telegraphic	télégraphique	telegraph	télégraph	78
telepathic	télépathique	telepath	télépath	75
telephonic	téléphonique	telephon	téléphon	75
telescopic	télescopique	telescop	télescop	88
terrific	terrifiant	terrif	terrifi	92
theistic	théiste	theistic	théist	71
thematic	thématique	themat	thémat	83
theoretic	théorique	theoret	théoriqu	53
therapeutic	thérapeutique	therapeut	thérapeut	89
thermodynamic	thermodynamique	thermodynam	thermodynam	100
thermoelectric	thermoélectrique	thermoelectr	thermoélectr	92
thermoplastic	thermoplastique	thermoplast	thermoplast	100
thermostatic	thermostatique	thermostat	thermostat	100
thoracic	thoracique	thorac	thorac	100
tic	tic	tic	tic	100
titanic	titanesque	titan	titanesqu	71
tokenistic	symbolique	tokenist	symbol	14
tonic	Tonique	tonic	toniqu	73
topic	sujet	topic	sujet	20
topographic	topographique	topograph	topograph	100
totemic	totémique	totem	totem	100
touristic	touristique	tourist	tourist	100
toxic	toxique	toxic	toxiqu	73
traffic	circulation	traffic	circul	31
tragic	tragique	tragic	tragiqu	77
transatlantic	transatlantique	transatlant	transatlant	100
transonic	transonique	transon	transon	100
traumatic	traumatique	traumat	traumat	100
triadic	triadique	triadic	triadiqu	80
triatomic	triatomique	triatom	triatom	100
trigonometric	trigonométrique	trigonometr	trigonometr	100
tropic	tropique	tropic	tropiqu	77
tropospheric	troposphérique	tropospher	tropospher	100
tunic	tunique	tunic	tuniqu	73
turmeric	Safran des Indes	turmer	safran des ind	20
typographic	typographique	typograph	typograph	100
tyrannic	tyrannique	tyrann	tyrann	100
ultrasonic	ultrasonique	ultrason	ultrason	100
unaesthetic	inesthétique	unaesthet	inesthet	82
unapologetic	sans s'excuser	unapologet	sans s'excus	9
uncharacteristic	inhabituel	uncharacterist	inhabituel	42
uncharismatic	non charismatique	uncharismat	non charismat	83
undemocratic	antidémocratique	undemocrat	antidémocrat	73
undiplomatic	peu diplomatique	undiplomat	peu diplomat	82
uneconomic	non économique	uneconom	non économ	67
unenthusiastic	peu enthousiaste	unenthusiast	peu enthousiast	81
unergonomic	non ergonomique	unergonom	non ergonom	80
unheroic	non héroïque	unhero	non héroïqu	47
unhygienic	non hygiénique	unhygien	non hygien	78
unmnemonic	démnémonique	unmnemon	démnémon	62
unpatriotic	antipatriotique	unpatriot	antipatriot	80
unproblematic	sans problème	unproblemat	sans problem	70
unrealistic	irréaliste	unrealist	irréal	40
unromantic	peu romantique	unromant	peu romant	78
unscientific	peu scientifique	unscientif	peu scientif	82
unspecific	non spécifique	unspecif	non spécif	67
unsympathetic	antipathique	unsympathet	antipath	53
unsystematic	peu systématique	unsystemat	peu systémat	73
videodisc	vidéodisque	videodisc	vidéodisqu	74
virtuosic	virtuose	virtuos	virtuos	100
vitriolic	vitriolique	vitriol	vitriol	100
volcanic	volcanique	volcan	volcan	100
volumetric	volumétrique	volumetr	volumetr	100
voyeuristic	voyeuriste	voyeurist	voyeur	80
xenophobic	xénophobe	xenophob	xénophob	88
zinc	zinc	zinc	zinc	100
abate	diminuer	abat	diminu	0
abbreviate	abréger	abbrevi	abreg	67
abdicate	abdiquer	abdic	abdiqu	73
ablate	ablaté	ablat	ablat	100
abominate	abominer	abomin	abomin	100
abrogate	abroger	abrog	abrog	100
accelerate	accélérer	acceler	accéler	86
accentuate	accentuer	accentu	accentu	100
accommodate	accommoder	accommod	accommod	100
accumulate	accumuler	accumul	accumul	100
accurate	exact	accur	exact	40
acetate	acétate	acet	acétat	60
activate	Activer	activ	activ	100
actuate	actionner	actuat	action	50
adequate	adéquat	adequ	adéquat	67
adjudicate	juger	adjud	jug	50
administrate	administrer	administr	administr	100
adulterate	falsifier	adulter	falsifi	29
adumbrate	esquisser	adumbr	esquiss	15
advocate	avocat	advoc	avocat	73
aerate	aérer	aerat	aer	75
affectionate	affectueux	affection	affectu	75
affiliate	affilier	affili	affili	100
aggravate	aggraver	aggrav	aggrav	100
aggregate	agrégat	aggreg	agrégat	46
agitate	agiter	agit	agit	100
alienate	aliéner	alien	alien	100
alleviate	soulager	allevi	soulag	17
alliterate	allitérer	alliter	alliter	100
allocate	allouer	alloc	allou	80
altercate	altérer	alterc	alter	91
alternate	alterner	altern	altern	100
amalgamate	fusionner	amalgam	fusion	0
ambulate	déambuler	ambul	déambul	83
ameliorate	améliorer	amelior	amélior	86
amputate	amputer	amput	amput	100
animate	animer	anim	anim	100
annihilate	annihiler	annihil	annihil	100
annotate	annoter	annot	annot	100
antedate	antidate	anted	antidat	67
anticipate	anticiper	anticip	anticip	100
apostate	apostat	apost	apostat	83
apostolate	apostolat	apostol	apostolat	88
appellate	appeler	appel	appel	100
appreciate	apprécier	appreci	appréci	86
appropriate	approprié	appropri	appropri	100
approximate	approximatif	approxim	approxim	100
arbitrate	arbitrer	arbitr	arbitr	100
articulate	articuler	articul	articul	100
asphyxiate	asphyxier	asphyxi	asphyxi	100
aspirate	aspirer	aspir	aspir	100
assassinate	assassiner	assassin	assassin	100
assimilate	assimiler	assimil	assimil	100
associate	associer	associ	associ	100
ate	a mangé	ate	a mang	22
attenuate	atténuer	attenu	atténu	83
authenticate	authentifier	authent	authentifi	82
automate	automatiser	autom	automatis	71
aviate	aviate	aviat	aviat	100
backdate	antidate	backdat	antidat	57
barbiturate	barbiturique	barbitur	barbitur	100
bate	bate	bate	bat	86
berate	admonester	berat	admonest	31
bicarbonate	bicarbonate	bicarbon	bicarbonat	89
birthrate	taux de natalité	birthrat	taux de natal	29
borate	borate	borat	borat	100
breastplate	pectoral	breastplat	pectoral	33
calculate	calculer	calcul	calcul	100
calibrate	étalonner	calibr	étalon	33
calumniate	calomnier	calumni	calomni	86
candidate	candidat	candid	candidat	86
capitate	capituler	capit	capitul	83
capitulate	capituler	capitul	capitul	100
captivate	captiver	captiv	captiv	100
carbohydrate	glucides	carbohydr	glucid	27
carbonate	carbonate	carbon	carbonat	86
castigate	fustiger	castig	fustig	67
castrate	castrer	castrat	castr	83
celebrate	célébrer	celebr	célebr	83
celibate	célibataire	celib	célibatair	53
certificate	certificat	certif	certificat	75
checkmate	échec et mat	checkmat	échec et mat	70
chlorate	chlorate	chlorat	chlorat	100
chocolate	Chocolat	chocol	chocolat	86
circulate	circuler	circul	circul	100
circumnavigate	faire le tour	circumnavig	faire le tour	25
citrate	citrate	citrat	citrat	100
classmate	camarade de classe	classmat	camarade de cl	18
climate	climat	climat	climat	100
coagulate	coaguler	coagul	coagul	100
cogitate	réfléchir	cogit	réflech	17
cognate	apparenté	cognat	apparent	29
collaborate	collaborer	collabor	collabor	100
collate	collationner	collat	collation	80
collegiate	collégial	collegi	collégial	75
commemorate	commémorer	commemor	commémor	88
commensurate	commensurable	commensur	commensur	100
commentate	commenter	comment	comment	100
commiserate	compatissant	commiser	compat	43
communicate	communiquer	commun	communiqu	80
compassionate	compatissant	compassion	compat	62
compensate	compenser	compens	compens	100
complicate	compliquer	complic	compliqu	80
computerliterate	informatisé	computerliter	informatis	35
concatenate	enchaîner	concaten	enchaîn	53
concentrate	concentrer	concentr	concentr	100
conciliate	concilier	concili	concili	100
condensate	condensat	condens	condensat	88
confabulate	converser	confabul	convers	40
confederate	confédéré	confeder	conféder	88
confiscate	confisquer	confisc	confisqu	80
conglomerate	conglomérat	conglomer	conglomérat	80
congratulate	féliciter	congratul	félicit	25
congregate	se rassembler	congreg	se rassembl	22
conjugate	conjuguer	conjug	conjugu	92
consecrate	consacrer	consecr	consacr	86
considerate	prévenant	consider	préven	14
consolidate	consolider	consolid	consolid	100
consulate	Consulat	consul	consulat	86
consummate	consommé	consumm	consomm	86
contaminate	contaminer	contamin	contamin	100
contemplate	contempler	contempl	contempl	100
cooperate	coopérer	cooper	cooper	100
coordinate	coordonner	coordin	coordon	86
copperplate	plaque de cuivre	copperpl	plaque de cuivr	17
copulate	copuler	copul	copul	100
cordate	cordé	cordat	cord	80
corporate	entreprise	corpor	entrepris	40
correlate	corrélatif	correl	correl	100
corroborate	corroborer	corrobor	corrobor	100
crate	Caisse	crate	caiss	40
create	créer	creat	cré	50
cremate	incinérer	cremat	inciner	31
cruciate	croisé	cruciat	crois	50
culminate	culminer	culmin	culmin	100
cultivate	cultiver	cultiv	cultiv	100
curate	sélectionner	curat	sélection	29
cutrate	vitesse de coupe	cutrat	vitesse de coup	19
date	Date	date	dat	86
deactivate	désactiver	deactiv	désactiv	80
debate	débat	debat	débat	80
debilitate	débiliter	debilit	débilit	86
decaffeinate	décaféiner	decaffein	décaféin	71
decapitate	décapiter	decapit	décapit	86
decelerate	ralentir	deceler	ralent	31
decimate	décimer	decim	décim	80
decorate	décorer	decor	décor	80
dedicate	consacrer	dedic	consacr	17
defecate	déféquer	defec	défequ	55
defenestrate	défénestrer	defenestr	défénestr	78
deflate	dégonfler	deflat	dégonfl	46
degenerate	dégénérer	degener	dégéner	71
dehydrate	déshydrater	dehydr	déshydrat	67
delate	accuser	delat	accus	20
delegate	déléguer	deleg	délégu	55
deliberate	délibérer	deliber	déliber	86
delicate	délicat	delic	délicat	67
delineate	tracer	delin	trac	0
demarcate	délimiter	demarc	délimit	31
demonstrate	démontrer	demonstr	démontr	80
denigrate	dénigrer	denigr	dénigr	83
deprecate	désapprouver	deprec	désapprouv	38
depreciate	déprécier	depreci	dépréci	71
derate	déclasser	derat	déclass	33
deregulate	déréglementer	deregul	déréglement	33
derogate	déroger	derog	dérog	80
desecrate	profaner	desecr	profan	17
designate	désigner	design	désign	83
desolate	désolé	desol	désol	80
desperate	désespéré	desper	désesper	86
deteriorate	détériorer	deterior	détérior	75
determinate	déterminé	determin	détermin	88
detonate	exploser	deton	explos	36
devastate	dévaster	devast	dévast	83
deviate	dévier	deviat	dévi	60
dictate	dicter	dictat	dict	80
differentiate	différencier	differenti	différenci	80
dilate	dilater	dilat	dilat	100
directorate	direction	director	direct	86
disaffiliate	se désaffilier	disaffili	se désaffili	76
disaggregate	désagréger	disaggreg	désagreg	82
disambiguate	lever l'ambiguïté	disambigu	lever l'ambiguït	48
disassociate	dissocier	disassoci	dissoci	88
disconsolate	inconsolable	disconsol	inconsol	82
discriminate	discriminer	discrimin	discrimin	100
disintegrate	désintégrer	disintegr	désintegr	89
dislocate	disloquer	disloc	disloqu	77
disparate	disparate	dispar	disparat	86
dispassionate	impartial	dispassion	impartial	42
disproportionate	disproportionné	disproportion	disproportion	100
disseminate	disséminer	dissemin	dissémin	88
dissipate	se dissiper	dissip	se dissip	80
dissociate	dissocier	dissoci	dissoci	100
distillate	distillat	distil	distillat	80
doctorate	doctorat	doctor	doctorat	86
dominate	dominer	domin	domin	100
donate	faire un don	donat	faire un don	35
duplicate	dupliquer	duplic	dupliqu	77
educate	éduquer	educ	éduqu	44
effeminate	efféminé	effemin	effémin	86
eigenstate	état propre	eigenst	état propr	12
elaborate	élaborer	elabor	élabor	83
elate	exalter	elat	exalt	67
electorate	électorat	elector	électorat	75
elevate	élever	elev	élev	75
eliminate	éliminer	elimin	élimin	83
elongate	allongé	elong	allong	73
elucidate	élucider	elucid	élucid	83
emaciate	émacié	emaci	émaci	80
emanate	émaner	eman	éman	75
emancipate	émanciper	emancip	émancip	86
emasculate	émasculer	emascul	émascul	86
emigrate	émigrer	emigr	émigr	80
emirate	émirat	emir	émirat	60
emulate	imiter	emul	imit	25
encapsulate	encapsuler	encapsul	encapsul	100
enervate	amollir	enerv	amoll	0
enumerate	énumérer	enumer	énumer	83
enunciate	énoncer	enunci	énonc	55
episcopate	épiscopat	episcop	épiscopat	75
equate	assimiler	equat	assimil	17
eradicate	éradiquer	erad	éradiqu	55
escalate	intensifier	escal	intensifi	29
estate	domaine	estat	domain	18
estimate	estimation	estim	estim	100
evacuate	évacuer	evacu	évacu	80
evaluate	évaluer	evalu	évalu	80
evaporate	évaporer	evapor	évapor	83
eviscerate	éviscérer	eviscer	éviscer	86
exacerbate	exacerber	exacerb	exacerb	100
exaggerate	exagérer	exagger	exager	92
exasperate	exaspérer	exasper	exasper	100
excavate	creuser	excav	creus	20
excommunicate	excommunier	excommun	excommuni	94
exhilarate	exaltant	exhilar	exalt	50
exonerate	disculper	exoner	disculp	0
expatriate	expatrié	expatri	expatri	100
expectorate	expectorer	expector	expector	100
expiate	expier	expiat	expi	80
explicate	expliquer	explic	expliqu	77
expostulate	récriminer	expostul	récrimin	0
expropriate	exproprier	expropri	expropri	100
expurgate	expurger	expurg	expurg	100
extenuate	atténuer	extenu	atténu	50
exterminate	exterminer	extermin	extermin	100
extirpate	extirper	extirp	extirp	100
extortionate	exorbitant	extortion	exorbit	62
extrapolate	extrapoler	extrapol	extrapol	100
extricate	dégager	extric	dégag	0
exudate	exsudat	exud	exsudat	73
fabricate	fabriquer	fabric	fabriqu	77
faceplate	plaque frontale	facepl	plaque frontal	20
facilitate	faciliter	facilit	facilit	100
fascinate	fasciner	fascin	fascin	100
fate	sort	fate	sort	25
federate	fédérer	feder	féder	80
filtrate	filtrer	filtrat	filtr	83
fixate	fixer	fixat	fix	75
flagellate	flageller	flagel	flagel	100
flatmate	coloc	flatmat	coloc	17
fluctuate	fluctuer	fluctuat	fluctu	86
foliate	foliaire	foliat	foliair	77
footplate	plaque de pied	footplat	plaque de pied	27
formulate	formuler	formul	formul	100
fornicate	forniquer	fornic	forniqu	77
fortunate	chanceux	fortun	chanceux	14
fractionate	fractionner	fraction	fraction	100
frigate	frégate	frigat	frégat	83
frustrate	frustrer	frustrat	frustr	86
fulminate	fulminer	fulmin	fulmin	100
fumigate	fumiger	fumig	fumig	100
gate	portail	gate	portail	18
generate	produire	gener	produir	17
germinate	germer	germin	germ	80
gestate	faire un geste	gestat	faire un gest	42
gesticulate	gesticuler	gesticul	gesticul	100
glutamate	glutamate	glutam	glutamat	86
graduate	diplômé	graduat	diplôm	15
grate	grille	grate	grill	40
gravitate	graviter	gravit	gravit	100
gyrate	tournoyer	gyrat	tournoi	17
habituate	habituer	habitu	habitu	100
hallucinate	halluciner	hallucin	hallucin	100
hate	détester	hate	détest	40
helpmate	aide	helpmat	aid	20
hesitate	hésiter	hesit	hésit	80
hibernate	hiberner	hibern	hibern	100
hotplate	plat chaud	hotplat	plat chaud	47
humiliate	humilier	humili	humili	100
hydrate	hydrater	hydrat	hydrat	100
hyphenate	trait d'union	hyphen	trait d'union	11
iceskate	patin à glace	icesk	patin à glac	24
illegitimate	illégitime	illegitim	illégitim	89
illiterate	analphabète	illiter	analphabet	24
illuminate	éclairer	illumin	éclair	15
illustrate	illustrer	illustr	illustr	100
imitate	imiter	imit	imit	100
immaculate	immaculé	immacul	immacul	100
immediate	immédiat	immedi	immédiat	71
immigrate	immigrer	immigr	immigr	100
immoderate	immodéré	immoder	immoder	100
immolate	immoler	immol	immol	100
impersonate	imiter	imperson	imit	33
implicate	impliquer	implic	impliqu	77
importunate	importun	importun	importun	100
impregnate	imprégner	impregn	impregn	100
inaccurate	inexacte	inaccur	inexact	57
inadequate	inadéquat	inadequ	inadéquat	75
inanimate	inanimé	inanim	inanim	100
inappropriate	inapproprié	inappropri	inappropri	100
inarticulate	inarticulé	inarticul	inarticul	100
inaugurate	inaugurer	inaugur	inaugur	100
incapacitate	neutraliser	incapacit	neutralis	11
incarnate	incarner	incarn	incarn	100
inchoate	fruste	inchoat	frust	17
incinerate	incinérer	inciner	inciner	100
inconsiderate	inconsidéré	inconsider	inconsider	100
